,mean_temp
10191,10.5
11951,15.8
6151,6.4
2840,13.3
5508,7.7
11034,10.2
13618,12.4
9701,18.4
11792,13.5
4978,15.8
7859,14.7
12876,14.7
15237,18.9
6930,6.2
4505,7.0
6418,19.7
37,3.3
576,17.8
7460,13.4
3988,2.8
8437,6.9
713,10.6
14741,11.4
9844,6.2
8450,8.4
2335,13.4
4983,14.8
4420,-5.4
7841,18.5
14457,19.9
881,17.4
567,13.8
13779,17.6
10069,24.8
2245,6.0
5070,6.5
15100,11.7
4165,16.2
8793,7.0
9688,23.0
10305,4.4
10815,17.2
239,13.8
7743,10.8
10864,13.2
8498,9.2
7716,4.7
1597,12.4
9892,5.1
12032,5.1
1901,3.4
1180,9.4
6521,6.3
6706,11.6
7882,20.7
3006,7.0
9673,17.0
2781,18.2
10919,3.0
5564,6.4
12691,16.4
8694,12.6
7107,13.6
9052,13.5
2829,14.1
7203,17.8
5444,5.2
5537,9.4
12482,8.1
4219,25.1
10770,17.2
13146,1.2
10799,21.6
6875,5.9
3413,13.4
6216,9.7
906,13.4
10934,3.3
3693,6.6
14251,3.5
3118,16.4
12798,6.3
10810,16.7
15144,16.5
9189,0.4
5662,21.4
5304,12.0
12879,13.6
14294,8.4
295,9.0
6557,1.9
5015,14.8
1785,3.0
4382,6.8
11650,2.7
10758,14.2
1284,21.3
10833,19.7
10393,16.5
12968,20.5
4454,12.1
14852,18.6
14425,20.9
549,16.7
5151,6.6
9026,17.0
3574,12.9
6598,6.4
4352,6.8
7153,16.4
2648,4.7
2586,3.0
6143,14.7
4889,18.9
13393,14.3
3160,13.8
13225,7.4
3182,18.1
3480,15.4
2377,22.4
6045,23.8
9255,9.3
8637,18.4
8704,12.0
8403,1.2
12855,10.4
10243,11.6
12918,14.9
7809,11.8
14200,5.7
13914,6.0
11374,2.7
8683,13.8
5701,16.8
8372,6.6
7298,6.8
7665,3.2
11821,12.1
10025,20.8
10686,12.3
1613,15.2
9512,7.9
8368,9.0
13138,8.7
6179,10.4
2015,23.6
13057,18.1
13762,18.4
9307,15.5
6749,14.6
2981,9.8
7965,12.0
9295,18.6
13404,15.0
243,19.1
4878,9.2
10441,18.4
106,7.3
8030,1.8
10923,8.6
13569,2.6
14079,20.4
13614,7.0
4830,6.6
14282,3.0
13431,12.1
13695,16.9
4605,19.6
8253,20.2
6281,1.6
5547,7.4
3960,9.4
3873,21.0
179,15.8
6790,18.4
7238,9.8
6051,20.6
10140,15.8
4793,8.0
6351,11.8
12589,19.0
14556,9.3
9993,17.1
29,0.7
2801,16.2
7200,16.5
5933,11.2
2922,9.0
4664,13.5
13152,2.9
10100,17.2
12389,4.2
1245,16.1
7475,16.7
4053,11.0
13287,11.0
4412,1.3
108,10.2
7310,12.2
7020,9.6
8480,13.2
10405,13.9
11497,19.8
8606,17.0
11604,16.4
8893,11.7
4394,3.5
8985,24.8
13689,17.0
6290,9.0
10297,10.4
4348,7.1
9824,6.0
9886,2.4
7822,14.6
12831,6.8
15152,25.3
12096,2.8
7259,4.0
7646,8.3
973,17.0
9733,15.4
4299,10.4
5270,18.9
3653,7.4
14224,1.9
12420,6.5
7637,9.2
3088,11.7
13616,12.2
5938,12.1
7771,5.2
6084,15.6
14516,11.8
10,2.6
2647,7.7
12170,12.4
1426,2.0
12382,8.5
3265,1.8
14819,19.7
12220,15.9
4814,9.2
10309,6.0
9878,7.9
1215,9.4
12016,11.0
14216,6.7
13434,10.4
13666,12.6
9434,13.2
7021,7.1
323,3.4
1344,16.0
4457,11.4
10659,7.0
909,11.0
10376,11.6
3399,10.2
496,14.4
9566,6.7
8426,8.4
10525,9.8
11140,22.8
