,mean_temp
11882,17.6
10607,6.4
852,7.8
1494,2.6
14483,16.4
8424,9.3
2464,18.6
6075,23.8
13921,1.6
9286,19.2
14145,15.3
9761,16.1
6735,20.2
7698,8.4
4787,6.2
4608,21.0
11941,17.9
7387,10.3
6504,14.0
500,14.3
12639,20.2
11803,12.0
9341,23.0
1046,10.0
8803,5.6
2633,7.4
7298,6.8
8696,9.6
8372,6.6
4923,17.4
8727,9.0
14793,18.6
12674,16.9
6023,21.8
777,2.0
4789,7.5
5595,14.9
14088,17.9
4019,5.2
1194,5.2
10443,21.8
51,2.1
4829,10.8
2304,8.0
12352,8.6
11629,14.6
9026,17.0
1113,6.4
2982,8.5
656,6.7
3254,0.3
5653,21.9
1187,8.2
15240,18.9
15031,5.1
6699,15.0
565,16.9
4118,10.4
9334,20.8
840,7.6
3888,19.0
1642,15.4
9618,17.3
12794,6.8
9360,19.2
2666,10.0
1972,9.8
8118,8.6
8437,6.9
1149,1.1
4092,10.2
10564,10.0
12009,11.9
765,4.6
4800,4.9
15227,18.4
9345,21.6
3872,20.7
5880,9.2
9050,12.7
2620,7.9
9615,14.2
3026,9.7
10830,17.5
4102,5.5
6818,18.4
11511,21.8
13455,11.2
7807,13.5
7794,10.4
15224,15.3
2685,11.5
9601,6.4
11808,15.6
14980,7.8
911,15.6
6613,3.6
8355,6.2
13029,19.0
9751,
1345,18.0
1444,6.6
8698,11.6
3499,16.0
7110,21.8
5304,12.0
12925,15.0
12333,9.3
2422,18.4
5144,5.5
2732,18.8
80,5.0
4217,22.0
13701,16.6
10705,11.4
4959,21.1
5117,1.9
12073,10.1
8196,12.1
5133,8.7
1572,10.3
13298,12.6
879,13.8
1578,10.6
6778,21.6
1509,2.4
1896,7.2
10421,19.8
8753,4.0
4112,4.6
8670,12.4
1845,1.8
9571,15.0
10843,15.6
11609,10.7
6930,6.2
11090,13.5
14199,12.2
6853,16.0
14221,3.5
15208,20.8
9726,22.0
14441,22.9
6131,15.8
6101,14.5
3614,2.2
2108,16.0
6526,5.7
8473,5.7
15286,9.7
8457,10.0
4696,5.2
7113,17.0
8121,6.4
11771,11.3
7578,13.4
13520,7.8
13735,15.6
13348,19.4
13149,7.1
4325,6.6
3219,7.2
7932,13.8
5098,8.2
7207,18.1
1193,7.4
45,-2.2
5371,12.4
976,16.4
7796,16.4
2963,5.2
1584,10.5
10005,12.0
4515,15.2
13097,9.8
9930,6.4
1975,12.6
3912,19.3
14309,7.7
12628,20.3
4411,1.2
13161,8.6
10493,15.0
12950,15.3
10190,11.6
11950,17.0
12748,4.4
2840,13.3
8992,19.0
11033,9.8
6053,23.7
9824,6.0
5046,8.8
5957,10.4
12141,13.3
9846,10.0
12742,2.4
10752,20.1
4505,7.0
10620,7.0
37,3.3
576,17.8
11724,11.0
3988,2.8
11039,9.7
713,10.6
14740,12.4
9843,6.6
8449,4.6
2335,13.4
4981,17.2
4420,-5.4
7839,23.2
9276,15.2
881,17.4
567,13.8
13948,9.4
7873,17.2
2245,6.0
8645,16.6
5528,3.2
4165,16.2
11709,2.9
8183,20.0
10304,4.6
8857,8.2
239,13.8
10425,18.6
13307,14.0
7974,9.8
6978,6.3
1597,12.4
9891,3.8
6347,7.1
1901,3.4
1180,9.4
9507,10.2
7107,13.6
11667,6.3
3006,7.0
9672,17.8
2781,18.2
11417,8.9
5562,11.4
9231,8.6
11947,16.8
7105,14.6
9051,13.6
2829,14.1
7201,19.4
14391,21.3
7551,20.2
8452,6.2
4219,25.1
10933,2.6
13145,3.6
10798,21.2
9694,21.8
3413,13.4
7600,13.1
906,13.4
7466,14.8
3693,6.6
14250,3.4
3118,16.4
12797,5.4
10809,16.7
6372,16.8
7529,18.2
7434,15.4
5302,18.2
14248,9.5
9520,3.2
295,9.0
11134,19.9
5013,15.8
1785,3.0
4382,6.8
11605,17.0
6926,5.0
1284,21.3
8146,6.8
8268,18.0
12967,20.1
4454,12.1
14851,19.1
9552,1.3
549,16.7
7824,17.5
13217,7.9
3574,12.9
6596,5.3
4352,6.8
11355,4.6
2648,4.7
2586,3.0
6141,13.3
4889,18.9
13392,16.3
3160,13.8
10392,17.7
3182,18.1
3480,15.4
2377,22.4
15320,9.0
9254,11.4
9502,8.4
8731,8.3
8402,0.0
7292,6.2
10242,9.9
14754,19.1
5963,12.0
12393,0.9
13913,8.7
11373,2.2
10924,6.0
12585,14.9
8371,4.4
13802,13.4
7663,5.6
10458,14.4
10024,25.4
9943,5.4
1613,15.2
5899,6.8
10491,17.6
13137,7.0
9688,23.0
2015,23.6
12304,18.4
12071,9.7
9189,0.4
12878,10.5
2981,9.8
7963,10.6
9294,16.6
14809,16.3
243,19.1
4878,9.2
7634,10.4
106,7.3
8028,5.2
5489,7.6
14193,10.4
14078,21.9
13613,9.0
4830,6.6
8823,9.6
12983,24.0
10111,17.3
4605,19.6
13782,18.0
12142,11.8
9069,9.0
3960,9.4
3873,21.0
179,15.8
12970,17.9
5815,10.0
9723,17.6
11575,18.2
4793,8.0
7885,17.4
11542,19.0
15154,17.2
9992,16.6
29,0.7
2801,16.2
7198,13.5
5725,18.5
2922,9.0
4664,13.5
13151,4.9
8304,13.2
9577,12.4
1245,16.1
7808,11.4
4053,11.0
13286,12.4
4412,1.3
108,10.2
7308,9.9
13858,12.0
6935,5.9
13381,22.2
11496,20.6
7507,14.0
6315,13.6
8875,10.8
4394,3.5
12448,10.2
12993,21.5
14142,13.8
10296,11.0
4348,7.1
6392,15.4
14101,16.6
7820,12.5
7593,12.3
7406,9.8
6601,4.0
5883,4.6
7877,18.6
973,17.0
7573,14.8
4299,10.4
6330,10.6
3653,7.4
5404,8.2
12419,5.7
7635,9.2
3088,11.7
14650,6.8
5936,12.5
5556,7.5
7550,21.4
6334,7.0
10,2.6
2647,7.7
12059,7.0
1426,2.0
12381,7.4
3265,1.8
12038,2.3
14017,13.1
4814,9.2
8639,18.4
9877,7.6
1215,9.4
14254,7.5
14215,5.0
6576,-2.5
13665,12.2
10949,10.0
7019,9.7
323,3.4
1344,16.0
4457,11.4
7740,10.5
909,11.0
10375,9.9
3399,10.2
496,14.4
9565,6.6
8425,6.4
13774,14.6
9264,13.2
